rank,workers,company,state_s,city,metro,growth,revenue,industry,yrs_on_list
1,227,Fuhu,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,2
2,191,Quest Nutrition,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,1
3,145,Reliant Asset Management,VA,Arlington,Washington DC,55460.1646,85076502,Business Products & Services,1
4,62,Superfish,CA,Palo Alto,San Jose,26042.963,35293000,Software,1
5,92,Acacia Communications,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,1
6,50,Provider Power,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203,Energy,2
7,129,Crescendo Bioscience,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,2
8,130,Plexus Worldwide,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,1
9,264,Vacasa,OR,Portland,Portland OR,16192.061,26263454,Travel & Hospitality,1
10,11,Go Energies,NC,Wilmington,Wilmington NC,16006.8013,32851754,Energy,1
11,113,Minute Key,CO,Boulder,Boulder CO,14588.3448,15782039,Consumer Products & Services,1
12,135,Sainstore,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863,Business Products & Services,1
13,153,The HCI Group,FL,Jacksonville,Jacksonville FL,13230.9467,34583142,Health,2
14,313,Dynamic Dental Partners Group,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935,Health,1
15,159,Aseptia,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650,Food & Beverage,1
16,34,Asentra Health,HI,Honolulu,Honolulu HI,12127.9133,20445071,Health,1
17,436,American Solar Direct,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,1
18,42,Prescient Edge,VA,McLean,Washington DC,11497.7718,12315210,Government Services,1
19,27,BlueSquare Resolutions,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,2
20,44,BES Design/Build,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161,Engineering,1
21,12,Simpler Trading,TX,Austin,Austin,10522.6415,11260000,Financial Services,1
22,790,sweetFrog Premium Frozen Yogurt,VA,Richmond,Richmond VA,10371.7994,34382478,Food & Beverage,1
23,17,Base Commerce,AZ,Tempe,Phoenix,10186.259,12479598,Financial Services,1
24,102,CPSG Partners,TX,Dallas,Dallas,9531.6371,17095000,IT Services,1
25,102,MedHOK,FL,Tampa,Tampa,9109.1892,17037000,Health,1
26,90,Showroom Logic,FL,Miami,Miami,8448.5785,13443409,Advertising & Marketing,1
27,27,WeVeel,PA,Morrisville,Dallas,8239.8148,9007000,Consumer Products & Services,1
28,10,PackIt,CA,Westlake Village,Los Angeles,7877.9544,11874148,Consumer Products & Services,1
29,8,American Retirement Advisors,AZ,Scottsdale,Phoenix,7758.1594,13876488,Financial Services,1
30,200,HighPoint Global,IN,Indianapolis,Indianapolis IN,7638.5408,95810719,Business Products & Services,1
31,33,AdKarma,MO,Columbia,Columbia MO,7635.2397,13326503,Advertising & Marketing,1
32,176,Axtria,NJ,Berkeley Heights,New York City,7351.2959,8963909,IT Services,1
33,24,Dolls Kill,CA,San Francisco,San Francisco,7055.6604,7585000,Retail,1
34,140,Centric Digital,NY,New York,New York City,6898.4173,18045419,Business Products & Services,1
35,55,Retail Capital,MI,Troy,Detroit,6861.3577,7013359,Financial Services,1
36,61,Restore Health,WI,Madison,Madison WI,6663.1769,6821205,Health,2
37,53,OpenRoad Lending,TX,North Richland Hills,Dallas,6603.3722,8853881,Financial Services,1
38,25,Pontchartrain Partners,LA,New Orleans,New Orleans-Metairie-Kenner LA,6535.0538,10545091,Government Services,1
39,1,Team Extreme Marketing International,MD,Chevy Chase,Washington DC,6369.1921,6772856,Consumer Products & Services,1
40,4,Choice Energy,IA,Des Moines,Des Moines-West Des Moines IA,6020.9548,20894369,Energy,1
41,24,ReviMedia,NY,New York,New York City,5817.1289,5963105,Advertising & Marketing,1
42,96,SmartZip Analytics,CA,Pleasanton,San Francisco,5811.3568,11396150,Software,1
43,48,Thompson Gray,AL,Huntsville,Huntsville AL,5752.5251,14104761,Government Services,1
44,147,MCSG Technologies,OK,Norman,Oklahoma City OK,5715.2859,7686703,IT Services,1
45,20,Innovative Surveillance Solutions,TX,Tyler,Tyler TX,5604.7826,10247444,Security,1
46,379,Nordic,WI,Madison,Madison WI,5593.0143,81410104,Health,1
47,40,Michigan Realty Solutions,MI,Richmond,Detroit,5530.8057,6178120,Real Estate,1
48,17,Ohio Investments,OH,Enon,Springfield OH,5507.4529,23809245,Real Estate,1
49,30,Adore Me,NY,New York,New York City,5505.55,5637838,Retail,1
50,35,IQ Formulations,FL,Sunrise,Miami,5486.2116,8269660,Health,1
51,32,MAX Digital,IL,Chicago,Chicago,5483.1298,6577541,Software,1
52,50,MaxHome,LA,New Orleans,New Orleans-Metairie-Kenner LA,5438.9673,5792929,Construction,1
53,1106,Alex and Ani,RI,Cranston,Providence-New Bedford-Fall River RI-MA,5220.9165,230109687,Retail,5
54,46,Crowdtap,NY,New York,New York City,5217.2043,6261593,Advertising & Marketing,1
55,30,Compass Automation,IL,Elgin,Chicago,5214.2331,5703235,Manufacturing,1
56,35,Multifamily Utility,CA,San Diego,San Diego,5196.0656,5757194,Real Estate,1
57,19,The Joint,AZ,Scottsdale,Phoenix,5139.4732,5958067,Health,3
58,70,Bizness Apps,CA,San Francisco,San Francisco,5078.5874,6178728,Software,1
59,59,EcoSense Lighting,CA,Los Angeles,Los Angeles,5059.1489,15363997,Manufacturing,1
60,61,PhotoBin,CA,San Diego,San Diego,5003.4376,6385268,Consumer Products & Services,1
61,44,PMG Worldwide,TX,Fort Worth,Dallas,5000.4026,5764577,Advertising & Marketing,1
62,19,Victor Securities,NJ,Englewood,New York City,4897.024,6494832,Financial Services,3
63,89,eLan Technologies,TX,Irving,Dallas,4863.7089,9149555,IT Services,1
64,41,Centennial Lending Group,PA,Maple Glen,Philadelphia,4845.0294,166889598,Financial Services,1
65,143,Tough Mudder,NY,Brooklyn,New York City,4737.5104,107900476,Health,1
66,40,Netcom3 Global,CA,Laguna Niguel,Los Angeles,4724.7797,30058088,Software,3
67,3,Gideon Services,AL,Huntsville,Huntsville AL,4723.0413,23252268,Government Services,1
68,34,Viderity,DC,Washington,Washington DC,4722.8947,18327000,Government Services,2
69,37,Affectiva,MA,Waltham,Boston,4676.4588,5017670,Software,1
70,40,AdHarmonics,MA,Cambridge,Boston,4669.4024,45929345,Advertising & Marketing,1
71,28,Acordis International,FL,Miramar,Miami,4638.7226,6000834,IT Services,2
72,40,KRAVE Pure Foods,CA,Sonoma,Napa CA,4632.0582,16940863,Food & Beverage,1
73,175,Main Street Hub,TX,Austin,Austin,4625.3168,9157664,Advertising & Marketing,1
74,4,First Point Power,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000,Energy,1
75,64,Ethology,AZ,Scottsdale,Phoenix,4219.4187,8815804,Advertising & Marketing,1
76,126,Regal Wings,NY,Brooklyn,New York City,4146.4844,54355000,Travel & Hospitality,2
77,23,Solect Energy Development,MA,Hopkinton,Boston,4101.3374,12477972,Energy,1
78,16,Old Pro Roofing,TX,Burleson,Dallas,4076.4206,4897229,Construction,1
79,53,Clean Energy Experts,CA,Manhattan Beach,Los Angeles,4063.5937,6058237,Advertising & Marketing,1
80,32,LogoUp.com,FL,Pompano Beach,Miami,4062.0098,8003961,Retail,1
81,28,ANALYTICA,DC,Washington,Washington DC,4056.1632,15010399,IT Services,1
82,131,Phunware,TX,Austin,Austin,4040.0382,22119065,Software,2
83,39,iCracked,CA,Redwood City,San Francisco,4033.2486,7315850,Consumer Products & Services,1
